视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1Cz4y1i7md?from=search,5月消费、出口、房地产齐“跳水”，保就业可能更难了？国家出手,464385,4003,2023-06-13 00:57:10,1.6万,1689,2086,1410,"热点观察局,经济,财经,知识,社科·法律·心理,星海计划,就业,出口,存款,房地产,消费,楼市,银行"
https://www.bilibili.com/video/BV1rj411X73j?from=search,23年就业到底有多难，我们又该如何面对未来的就业,9477,7,2023-06-15 00:09:39,464,63,55,61,"寻找哔哔KING,职场,必剪创作,生活,日常,985毕业生,找工作,就业,就业难,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1Lu411Y7bg?from=search,【卢克文工作室】就业怎么变难了？（上）：程序员摆摊揭露就业市场收缩现状,414558,2549,2023-06-12 17:49:44,1.8万,2124,2180,2147,"星海计划,资讯,社会,社会,失业,就业,互联网公司,产业升级,房地产行业"
https://www.bilibili.com/video/BV13X4y1b7WG?from=search,2023年下半年，国内就业压力将呈现【地狱级】难度,88556,37,2023-06-12 14:56:19,892,24,301,175,"职场避坑指南,职场,知识,职业职场,毕业,2023年,国内,压力,求职,工作,就业,应届毕业生"
https://www.bilibili.com/video/BV11N41167NP?from=search,统计数据能否反映当前青年人就业的真实情况？国家统计局回应,119721,206,2023-06-15 11:24:30,6432,223,827,3649,"生活,日常,发布会,失业,统计"
https://www.bilibili.com/video/BV1Vo4y1q7S8?from=search,温铁军教授谈大学生就业难问题，毕业即失业的真相。,344542,520,2023-03-19 23:52:04,2.5万,2365,7151,5061,"知识,社科·法律·心理,教授,毕业,真相,失业,就业,问题,大学生,温铁军教授"
https://www.bilibili.com/video/BV1ec411A7HF?from=search,2023年的就业环境到底有多差？,506798,261,2023-05-24 13:33:14,6895,139,1533,549,"记录我的校园时光,知识,社科·法律·心理,2023年,一分钟扬名B站-第六期,就业,工作,求职,就业环境"
https://www.bilibili.com/video/BV17u4y1o7iD?from=search,北大失业程序员的互联网就业环境观察,110661,218,2023-06-13 15:23:54,2422,691,1625,930,"年轻人生活图鉴,计算机,互联网,原神,生活,日常,北大,裁员,高考志愿,找工作"
https://www.bilibili.com/video/BV1JN411y7SZ?from=search,毕业了 就应该去“间隔年”！论积极慢就业的必要性、提前认清、准备或规避异化劳动、996以及working poor 别着急上错船,41395,69,2023-06-09 22:53:24,1659,654,1186,470,"去做喜欢的一切,人文,知识,人文历史,毕业,别着急上错船,年轻人,YOLO,求职,就业,工作,干杯！去做喜欢的一切"
https://www.bilibili.com/video/BV1cM4y1Y7y4?from=search,张雪峰，今年就业形势有多惨，某211就业率不到3%,240221,2500,2023-06-09 16:32:32,2501,91,859,1304,"一起上岸吧,知识,职业职场,一起上岸吧2"
https://www.bilibili.com/video/BV14x4y1N7PE?from=search,1158万大学生毕业！未来我们如何解决就业需求？,232752,391,2023-03-10 19:00:00,4453,564,1578,1570,"社会洞察计划,知识,人文历史,社会,就业,大学生"
https://www.bilibili.com/video/BV1A14y1Q7tE?from=search,师范专业？不推荐！很卷而且未来不好就业！,34495,51,2023-06-10 12:00:00,2239,85,175,83,"ConcerningHobbits,虚拟UP主,动画,综合,师范,就业,师范生,就业前景,虚拟主播,VUP,师范专业"
https://www.bilibili.com/video/BV17k4y1n7M9?from=search,学地理出路在哪？地理学/环境学就业干点啥？学地理什么方向最赚钱？你想知道的地学就业都在这里了！！,1524,14,2023-06-15 11:30:20,69,15,17,8,"你好，准大学生,生活,日常,大学,学习,实习,记录,干货,就业,真实,经验分享,地理学,B站创意话题大赏"
https://www.bilibili.com/video/BV1eV4y1m7oP?from=search,德国：百万就业机会与百万失业危机，德国制造也造不动了,134716,368,2023-06-13 15:55:00,4979,764,1305,132,"社会观察局,经济,德国,财经,汽车,知识,财经商业,德国制造,保时捷,商业,光伏,能源危机,新能源"
https://www.bilibili.com/video/BV178411Z713?from=search,失业率高达20%？青年人就业为何这么难，我们又该怎么办？,41185,124,2023-06-09 17:00:00,936,77,266,102,"知识,财经商业,社会,工作,青年,就业,毕业生,失业率"
https://www.bilibili.com/video/BV1Ws4y1B7BV?from=search,现在就业难？张老师:我觉得并不是。,22207,11,2023-05-26 15:04:14,341,4,59,13,"职场,必剪创作,知识,职业职场,大学,志愿填报,求职,就业,张雪峰,就业率"
https://www.bilibili.com/video/BV1kV4y1z7Dr?from=search,记者：“上届毕业生还没就业，下届毕业生马上就要毕业了”,701716,354,2023-06-02 20:11:20,2.7万,1882,5418,3936,"ナイトクルージング,经典好剧考古安利,影视剪辑,必剪创作,影视,影视剪辑,就业,毕业生,讽刺,星动安利大作战·初夏篇"
https://www.bilibili.com/video/BV1Fm4y1q749?from=search,张雪峰，普通家庭的孩子，应该选择一些就业容易的专业。,17442,3,2023-06-09 20:17:42,374,7,146,47,"今天也要好好工作,知识,职业职场"
https://www.bilibili.com/video/BV1jj411X7Gm?from=search,就业形势不容乐观，以史为鉴看看90年代国企下岗潮和当下的异同！,34060,12,2023-06-13 21:00:26,273,8,109,16,"今天也要好好工作,职场,必剪创作,知识,财经商业,就业,乐观,国企,90年代,年代,工作,当下"
https://www.bilibili.com/video/BV14N411k7th?from=search,就业形势如何？一个视频讲透工商财会类所有专业！【框框的b站大学-管理学上】工商管理、市场营销、会计学、财务管理、国际商务、人力资源管理、审计学、文化产业管理…,128782,646,2023-06-11 18:05:00,1.0万,5230,1.2万,1516,"2023高考季,高考,知识,校园学习,专业,大学,会计,志愿,高考志愿,财务,管理,工商管理"
https://www.bilibili.com/video/BV1Mh4y1G7SM?from=search,985AI程序员就业经历,252004,51,2023-06-05 19:55:33,4.0万,542,3712,507,"DiscoPanzer(feat.R5on11c),动画短片群星计划,程序员,动画短片,搞笑,动画,短片·手书·配音,AI,创业,原创动画,AI焦虑,就业,解压,动画短片群星计划第八期"
https://www.bilibili.com/video/BV1Dh4y1G7yp?from=search,每周工作1小时，就算就业！这是国家统计标准！,19661,21,2023-06-09 14:00:00,369,18,85,526,"WhatSurroundsUs,热点观察局,知识,财经商业,星海计划,统计,大学生就业,就业难,失业率"
https://www.bilibili.com/video/BV18o4y1M71a?from=search,2023年程序员就业率大幅下滑，IT行业真的没落了？,19409,321,2023-05-29 14:39:23,860,128,2497,512,"计算机,编程,程序员,科技,计算机技术,马士兵,求职,职业规划,职场技能,java,就业率,IT行业"
https://www.bilibili.com/video/BV1Qk4y1p7i7?from=search,聊聊工业设计学生的就业困境与破局方式,2955,1,2023-06-13 11:30:00,169,58,122,11,"知识,校园学习,设计,工业设计,经验分享,就业,学生"
https://www.bilibili.com/video/BV1CV4y1U78y?from=search,别让抑郁症影响你的升学、就业（校园功利版）,63078,77,2023-06-06 20:17:19,3022,578,2390,841,"2023高考季,知识,校园学习,抑郁症,生活,校园,大学,经验分享,就业"
https://www.bilibili.com/video/BV1og4y1j7KH?from=search,2023年真实的就业情况，经济腾飞却就业困难，是谁在说谎？,479857,783,2023-04-21 19:48:05,1.0万,1973,4135,2312,"社会洞察计划,经济,知识,社科·法律·心理,星海计划,经济发展,就业,失业,谎言,就业困难"
https://www.bilibili.com/video/BV1h24y1b7uF?from=search,程序员就业现状让人心碎，但你得人间清醒。【晓舟报告】,113487,82,2023-03-07 20:49:12,2165,465,791,748,"互联网,编程,程序员,职场,知识,职业职场,简历,找工作,求职,就业,金三银四,就业季"
https://www.bilibili.com/video/BV1qs4y1z7NW?from=search,虽然大学生就业难，但是失业容易啊,125529,594,2023-05-19 20:50:39,2934,285,805,400,"正经的知识又增加了,职场,知识,科学科普,求职,大学生,失业,容易,就业,找工作,工作,大学生就业,2023科学很可爱"
https://www.bilibili.com/video/BV1Gz4y1e7TN?from=search,今天高校毕业1158万人，就业率不理想，在土木行业就职已是上策,7283,57,2023-06-13 18:30:01,85,25,26,14,"今天也要好好工作,知识,职业职场,工程,毕业,土木,行业,就业,高校,就职,就业率"
https://www.bilibili.com/video/BV1NM4y1z7RF?from=search,【英杰】广州外卖骑手停招，2023或成就业最严峻的一年,421900,415,2023-03-24 10:51:59,2062,377,1792,1184,"热点观察局,经济,知识,财经商业,趣闻,星海计划,广州,求职,涨知识,外卖骑手,商业财经"
https://www.bilibili.com/video/BV1km4y1C7Wy?from=search,今年毕业大学生就业有多简单,176626,63,2023-05-03 20:38:22,2646,76,386,184,"随手记录我的生活碎片,生活,日常,青春,毕业,生活记录,就业,今年,大学生,简单,记录,生活万花筒6.0·沸腾吧！青年"
https://www.bilibili.com/video/BV1KW4y1Q7Bs?from=search,【卢克文工作室】就业怎么变难了？（下）：多投资多消费对冲失业问题,329358,687,2023-06-13 21:36:15,1.6万,3039,1709,780,"星海计划,经济,金融,资讯,社会,货币,社会,降息,就业,消费"
https://www.bilibili.com/video/BV1bA4y197JH?from=search,我985文科就业，没想到这么惨。。。。。,2465546,4055,2022-04-12 18:05:26,8.2万,9472,2.0万,8329,"我的吐槽大会,面试,生活,搞笑,我的恋恋日记,自制,社会,生活,娱乐,原创,吐槽,求职,经验分享"
https://www.bilibili.com/video/BV1iu411Y75q?from=search,计算机大学生就业现状,3823,12,2023-06-12 20:55:03,77,2,10,4,"夏日整活大赏,计算机,编程,程序员,搞笑,生活,搞笑,大学,校园,毕业,大学生,大学生找工作,爱就哔需说出来"
https://www.bilibili.com/video/BV1HX4y147tD?from=search,研究生就业难的原因，被我找到了，博士同理,13867,139,2023-06-13 19:56:26,781,161,113,76,"老师在线唠个嗑,职场,必剪创作,生活,日常,研究生,实习,博士,工作,就业,就业难,研究生就业"
https://www.bilibili.com/video/BV1E44y1U7TV?from=search,土木就业真像大家说的那样堪忧吗,69383,294,2022-12-14 01:51:50,2461,108,341,200,"ひやむぎ、そーめん、時々うどん,bilibili实用UP主扶持计划,考研,职场,必剪创作,知识,职业职场,填报志愿,公务员,张雪峰"
https://www.bilibili.com/video/BV1ys4y1e7bj?from=search,加拿大经济就业状况越来越差。。。感觉2023越来越艰难 | 多伦多程序员,66793,95,2023-06-04 06:52:01,1659,165,816,356,"随手记录我的生活碎片,程序员,生活,日常,生活记录,加拿大,北美工作,多伦多,出国,移民,就业,裁员,爱就哔需说出来"
https://www.bilibili.com/video/BV1DG4y1q7PH?from=search,【逗比】就业困难，专家建议大学生进厂，我成了素材,603106,1203,2022-09-17 18:06:49,5.5万,1.4万,3236,2316,"Yumeji'sTheme(Themefrom'intheMoodforLove'),离谱故事会接龙,脱口秀,搞笑,生活,搞笑,逗比,专家,大学,奇葩,生活,吐槽,搞笑研究所8.0,找工作"
https://www.bilibili.com/video/BV11k4y1n7Ah?from=search,张雪峰，只要能上宁诺和西浦，这个这两个大学将来就业根本不是问题，而且毕业年薪几千万。,40779,8,2023-06-10 22:37:50,260,9,83,42,"今天也要好好工作,知识,职业职场"
https://www.bilibili.com/video/BV1gj411D7QE?from=search,一批985毕业生主动延毕，国家发改委：中职、高职毕业生就业率超95%和90%！本升专成真了？,14062,7,2023-06-14 20:25:02,92,10,29,41,"知识,社科·法律·心理,潜规则,门槛,公务员,不结婚,学历,找工作,铁饭碗,996,就业难,打工人"
https://www.bilibili.com/video/BV1HW4y1V7wY?from=search,清华大学生物专业学生需要担心就业问题吗,124321,135,2023-01-09 19:59:58,4781,94,425,69,"2023对我好一点,考研,必剪创作,知识,职业职场,填报志愿,我们都爱搞学习·第四期,公务员,张雪峰,升学规划,唠嗑区UP主集结令2"
https://www.bilibili.com/video/BV1rM411K7Kp?from=search,按照这个就业形势，这个专业恐怕要倒闭了。,845771,980,2023-04-02 17:16:12,1.4万,1197,5265,1325,"生活,日常,专业,日常,生活,吐槽,唠嗑,毕业生,找工作"
https://www.bilibili.com/video/BV1dP411X71j?from=search,一半人找不到工作，计算机就业真相，学生找工作三要素！,155749,45,2023-05-17 20:56:47,3457,506,3175,556,"计算机,编程,程序员,科技,计算机技术,就业"
https://www.bilibili.com/video/BV1M24y127xb?from=search,耗时3个月！我们做了一个干净免费的知识共享网站！选科/志愿/转专业/保研考研择校择专业/就业规划必备！,2939496,1598,2022-11-12 19:00:00,37.7万,21.6万,35.7万,2.9万,"我们都爱搞学习,高考,知识,校园学习,大学,中学,专业,学习,规划,信息,资源,经验,我们都爱搞学习·第三期"
https://www.bilibili.com/video/BV1GX4y1Q7ci?from=search,新生儿嫌少、大学生嫌多、35岁员工嫌老、60岁退休嫌早！还原最真实的中国就业市场,166416,1461,2023-03-06 17:42:05,3065,560,1720,1281,"职场,必剪创作,知识,财经商业,毕业,就业,退休,找工作,企业,失业,打工人,万物研究所·第九期"
https://www.bilibili.com/video/BV1wV4y1U7SX?from=search,相差近5倍！青年与成年就业冰火两重天，年轻人该如何选择城市与工作？,205253,415,2023-06-02 15:13:47,8087,888,1142,410,"今天也要好好工作,经济,上海,知识,财经商业,青年,大学生,就业,年轻人,城市,工作,失业率"
https://www.bilibili.com/video/BV1mu411Y7M6?from=search,我们团队月薪 2 w 的新媒体运营岗每天都在干什么？推荐一个不错的就业方向！,3298,2,2023-06-12 21:15:00,161,5,39,8,"知识,校园学习,新媒体,运营,新媒体运营"
https://www.bilibili.com/video/BV1324y1L71E?from=search,财政、就业压力越来越大，国家终于出手了，四大变化正在发生,1000674,7280,2023-04-08 10:59:32,2.6万,3351,9473,6121,"热点观察局,经济,金融,汽车,知识,社科·法律·心理,星海计划,降薪,找工作,就业,房地产"
https://www.bilibili.com/video/BV1Uo4y1E72U?from=search,游戏圈就业闲聊,4113,3,2023-06-07 12:19:57,72,17,46,6,"动画,综合,游戏,工作,就业"
https://www.bilibili.com/video/BV19A4y1Z73T?from=search,1076万毕业生、2亿人灵活就业，为什么要重视年轻人就业市场？【财富风暴30】,859980,4921,2022-05-25 18:30:00,2.5万,3089,8810,6151,"社会观察局,经济,金融,财经,科普,知识,财经商业,毕业,年轻人,加班,大学生,打工人"
https://www.bilibili.com/video/BV1i24y1M7zF?from=search,风向又变了？为了解决就业，国家放了“四个大招”,430461,416,2023-05-11 16:47:40,1.3万,995,2283,989,"热点观察局,经济,职场,知识,社科·法律·心理,星海计划,求职,就业,工作,招聘,消费,需求,就业季"
https://www.bilibili.com/video/BV18M4y1a7PQ?from=search,峰哥锐评考研大学生:“知道自己考不上，就为了逃避就业。”,95980,202,2023-04-27 12:06:07,1866,159,429,499,"随手记录我的生活碎片,考研,生活,日常,励志,峰哥直播,峰哥,峰哥亡命天涯,生活万花筒6.0·沸腾吧！青年"
https://www.bilibili.com/video/BV1Hi4y1Q7LY?from=search,建筑学生就业怎么样？【使徒子】,209760,692,2022-03-29 17:00:00,9137,2399,2286,910,"技能提升营,职场,知识,设计·创意,VLOG,建筑,国漫,设计师,自媒体,经验分享,就业"
https://www.bilibili.com/video/BV1zm4y1r7JM?from=search,数学就业怎么样？张雪峰:数学就业很好的！它是万物之母,31196,31,2023-03-20 22:48:28,1006,48,224,164,"高考,必剪创作,知识,职业职场,大学,数学,经验分享,就业,张雪峰,升学规划"
https://www.bilibili.com/video/BV1Ys4y1z7wi?from=search,啃老？考研？灵活就业？这几年失业的年轻人，到底都去哪里了？,107912,149,2023-05-18 19:09:52,1450,61,500,162,"今天也要好好工作,考研,财经,知识,财经商业,工作,失业,年轻人,毕业生,个人成长,商业思维,灵活就业"
https://www.bilibili.com/video/BV1q341137PC?from=search,毕业季：一次说清大学生三方就业协议，看完不掉坑！一定要收藏！,767655,195,2022-06-03 22:30:43,6.3万,8542,6.8万,7714,"毕业后的第一份工作怎么选,职场,知识,职业职场,趣闻,薅知识,涨知识,找工作,求职,大学生就业,考公务员,三方协议,打卡挑战,职场加油站2022第二季"
https://www.bilibili.com/video/BV1dY41167cc?from=search,一个岗位几千人卷，Java真实就业情况，到底还能不能学？,73341,238,2023-03-08 21:26:35,1335,273,839,427,"计算机,编程,程序员,科技,计算机技术,编程语言,Java"
https://www.bilibili.com/video/BV1wz4y1i7jn?from=search,张雪峰，chatgtp把互联网行业全部搞废掉了，华为，阿里全部裁掉百分之80的员工，互联网行业在后面就业将会非常困难。,19909,165,2023-06-08 16:37:31,189,12,172,75,"今天也要好好工作,知识,职业职场"
https://www.bilibili.com/video/BV1NM411F7gE?from=search,疫情开放后，现在 IT 行业还有发展前景/空间吗？2023年IT行业就业前景分析,32960,140,2023-01-10 15:38:49,1065,425,3845,1061,"面试,计算机,互联网,编程,程序员,野生技术协会,公开课,知识,职业职场,IT,就业,就业前景,2022年度知识分享官评选"
