视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV193411N7yn?from=search,【公考新手教程】手把手教你如何选岗位、报名,160273,58,2022-04-27 14:37:19,6742,3212,1.2万,1423,"公考笔试指南,知识,校园学习,经验分享,省考,国考,考公"
https://www.bilibili.com/video/BV1rf4y1z7uN?from=search,公考从入门到上岸——小白公考扫盲贴——0成本上岸,1157282,5604,2021-02-20 16:25:17,8.0万,7.1万,7.3万,1.1万,"考试,知识,校园学习,知识分享官,学习,公考,公务员,申论,公务员考试,省考,国考,考公"
https://www.bilibili.com/video/BV1Ez4y1h7hJ?from=search,从5月开始复习公考，一个粗暴、简单……但可以考上公务员的实用方案……拒绝浪费时间、错误备考，让我们快速上岸！！！（part1））,130651,247,2023-05-14 23:52:40,6187,4256,1.1万,959,"公务员考试,考试,知识,职业职场,公考,申论,公务员,上岸,行测,省考,国考,部委"
https://www.bilibili.com/video/BV1VY4y1A7XM?from=search,537万人考公，500万人失业，宇宙的尽头是考编吗？,764006,1460,2022-08-09 20:15:00,1.5万,2971,7297,7426,"职场加油站,面试,职场,知识,职业职场,创业,学习,教育,公考,求职,工作,国考,职场加油站2022第二季"
https://www.bilibili.com/video/BV1ZS4y1q7Y8?from=search,这四类人千万别考公，说多了都是泪！ 听人劝，吃饱饭，年轻人切莫随大流！,210243,189,2022-05-29 17:30:48,1955,172,1168,243,"面试,职场,考试,知识,职业职场,教育,公考,求职,省考,国考"
https://www.bilibili.com/video/BV1Aq4y1W7Tc?from=search,公考新手小白备考规划及答疑——刘文超Vin,1463229,14229,2021-07-06 22:28:26,5.5万,4.9万,6.4万,4.3万,"知识,职业职场,申论,公考,行测,省考,国考"
https://www.bilibili.com/video/BV1PT411B7Yq?from=search,想考公的同学，建议看看张老师的给的建议,58847,47,2023-03-31 09:49:18,1177,81,1359,141,"一起上岸吧,考试,知识,校园学习,公务员,公务员考试,上岸,张雪峰,一起上岸吧！"
https://www.bilibili.com/video/BV1Ed4y197FD?from=search,"醒醒吧!公考不是刷题就能过,上岸人有话说！！！",215620,62,2022-08-27 22:41:54,6272,2543,1.1万,834,"职场加油站,知识,职业职场,公务员,公考,申论,上岸,行测,联考,省考,国考,考公,职场加油站2022第二季"
https://www.bilibili.com/video/BV1P34y167K4?from=search,申论系统课（全国通用）——公考小马哥,6832049,199565,2022-01-04 20:34:40,9.1万,4.4万,18.5万,4.4万,"知识,校园学习,申论,公考,公务员考试,省考,国考"
https://www.bilibili.com/video/BV1BJ41187wM?from=search,资料分析《行测》系统理论课【讲义私信up或评论区置顶】（全国通用，最新，最全）王永恒    适用：2023国考、省考 2023公考 事业单位 上岸村,11878636,422922,2019-12-30 17:25:06,19.5万,12.9万,38.7万,8.1万,"知识,职业职场,公务员,判断推理,言语理解,资料分析,科学推理,数字推理,申论,数量关系,公考,国考真题2022行测,国考申论真题"
https://www.bilibili.com/video/BV1Yx4y157XV?from=search,考公人别让信息闭塞毁了你！教你打破信息壁垒，摆脱摆烂现状！值得考公人反复观看的视频！,449725,198,2023-02-07 15:23:00,2.4万,1.5万,5.7万,3421,"知识,职业职场,公考,公务员考试,行测,申论,公务员,信息,联考,省考,国考,考公"
https://www.bilibili.com/video/BV1YK411J7CU?from=search,言语理解 系统课 全国通用【讲义私信up或评论区置顶】 章晓铭   适用：行测 2023国考、省考 2023公考 事业单位 上岸村 考公,4774502,229323,2020-07-26 01:27:43,10.2万,7.2万,19.3万,3.6万,"知识,职业职场,公务员,申论,行测,数量关系,联考,省考,判断推理,言语理解,资料分析,国考真题2022行测"
https://www.bilibili.com/video/BV1cz4y1h7fA?from=search,史无前例！2023年公考界最大的”备考骗局“，99%的考公人因此深陷其中而深受其害！,114114,151,2023-05-17 18:34:03,2555,1292,5943,284,"考试,知识,职业职场,学习,骗局,公考,公务员,公务员考试,省考,国考,考公务员,备考公务员"
https://www.bilibili.com/video/BV1S44y197HM?from=search,【公务员考试】2023国考｜23省考｜行测+申论完整版｜行测言语理解部分｜公考速成｜知识点讲解,592345,11299,2023-01-05 21:30:43,7976,4766,3.5万,4469,"知识,校园学习,申论,公务员考试,公务员,速成,行测,省考,国考,知识点,考公,知识点讲解"
https://www.bilibili.com/video/BV1eJ41187aJ?from=search,判断推理《行测》系统理论课程（全国通用）【讲义私信up或评论区置顶】（全国通用，最新，最全）章晓铭    适用：2023国考、省考 2023公考  公考上岸村,12103583,383387,2019-12-30 16:34:48,17.7万,10.5万,37.2万,6.7万,"知识,职业职场,公务员考试,言语理解,数量关系,公务员,行测,申论,公考,国考,资料分析,公考面试,国考真题2022行测"
https://www.bilibili.com/video/BV1qM4y1d7uW?from=search,公考面试86.6分答题全过程,310579,871,2023-03-05 13:23:26,4325,378,5051,3953,"面试,知识,职业职场,公考,公务员考试,公务员,公务员面试,省考,结构化面试,国考,公考面试"
https://www.bilibili.com/video/BV11s4y1y7U4?from=search,温铁军：除了考公，我们还有什么机会？,11561,47,2023-06-14 22:38:36,936,177,572,207,"公开课,知识,社科·法律·心理,学习,温铁军,公务员,考公"
https://www.bilibili.com/video/BV1Eb4y1s7aq?from=search,最全求职渠道：考公/选调/事业编/国企/私企，全领域汇总！早晚用得上，不如先收藏！【框框的b站大学-求职信息渠道】,696571,2167,2022-03-12 12:23:19,6.5万,4.6万,10.7万,1.1万,"春招B计划,面试,职场,公开课,知识,职业职场,大学,教育,学习,公考,求职,工作"
https://www.bilibili.com/video/BV1Af4y1P7UM?from=search,我全力以赴考公，才知道考公有多难，才知道多少个第二名也换不来一个第一名。,909600,1641,2021-09-11 14:40:40,2.0万,6760,1.6万,6693,"知识,职业职场,励志,公考,事业单位,公务员,应届生"
https://www.bilibili.com/video/BV1gm4y1v7fh?from=search,山东人能把考公玩出花,46134,29,2023-06-12 21:22:40,878,40,418,562,"高考志愿，学校和专业哪个优先,高考,考研,必剪创作,知识,校园学习,填报志愿,2023高考季,张雪峰,考公"
https://www.bilibili.com/video/BV1Qk4y1e7HF?from=search,公考经验分享，一部视频说完,15234,40,2023-04-05 22:21:58,688,335,2013,133,"知识,校园学习,经验分享,公考"
https://www.bilibili.com/video/BV1JT41117Lx?from=search,不适合就别考公务员了,180874,669,2023-01-31 22:43:41,4799,2178,4046,1242,"考试,必剪创作,生活,日常,生活记录,学习,公务员,体制内,考公,考公务员"
https://www.bilibili.com/video/BV1Kz4y1e7ac?from=search,【公务员考试】从6月开始复习国考，粗暴、简单但可以考上的实用方案！,4798,5,2023-06-15 00:10:52,267,217,437,33,"公务员考试,考试,知识,职业职场,行测,公务员,公考,申论,备考,上岸,国考,考上"
https://www.bilibili.com/video/BV19z4y1q7Fv?from=search,【公考必看】看完之后考公瘾达到了最大！每当我考公撑不下去的时候我都会打开这个视频！,42224,85,2023-06-06 17:34:22,1467,455,2541,197,"Daylight,今天也要好好工作,知识,校园学习,学习,公务员考试,大学生,公考,经验分享,省考,国考,校园学习,行测申论"
https://www.bilibili.com/video/BV1W34y1r7Dg?from=search,考公复习建议（刚考完考试的应届生写的）,168673,23,2021-12-28 10:46:23,8613,1580,1.7万,1006,"知识,校园学习,学习,公考,公务员,国考"
https://www.bilibili.com/video/BV1Th4y1o7uh?from=search,年轻人都去考公，社会在丧失活力,138063,269,2023-05-22 18:48:18,2306,285,992,845,"知识,人文历史,#事业单位,#考编,#知鸦大历史,#知鸦通识,#马国川,#考公"
https://www.bilibili.com/video/BV1xu4y1f7pn?from=search,NGA公考 一篇比较详细而独特的经验帖,17543,1,2023-05-26 10:00:00,889,412,2673,248,"知识,校园学习,公务员考试"
https://www.bilibili.com/video/BV1vL41187s9?from=search,考公分享 | 如何找资源 | 专属错题本 | 网课推荐 | 免费试题导出 |,50584,73,2023-05-06 17:23:27,4003,2506,6315,351,"国考笔试备考,知识,校园学习,公务员考试,公务员,干货,创作灵感"
https://www.bilibili.com/video/BV1Rs4y1e7be?from=search,【考公事业编】上半年时政考点速记，知识装进脑袋，分数装进口袋,24047,156,2023-06-09 18:00:00,1770,616,3530,251,"一起上岸吧,学习方法,知识,校园学习,时政,公考,事业单位,公务员考试,省考,考公,一起上岸吧2"
https://www.bilibili.com/video/BV15P411B72j?from=search,41天155+公考上岸第二期——拉出陷入言语困境的你！,4930,45,2023-06-13 13:04:30,145,77,463,17,"知识,校园学习,上岸经验,公考,公务员,公务员考试,上岸,言语,困境,省考,公考上岸,公考怎么备考"
https://www.bilibili.com/video/BV1qS4y1g7jp?from=search,一个普通女孩历时9个月的考公经历记录-致曾经的自己,403376,252,2022-03-22 01:52:35,2.5万,2114,9098,3389,"和你一样,知识,校园学习,普通,上岸,公务员考试,记录,考公"
https://www.bilibili.com/video/BV1oP411Z7xP?from=search,历经368天，我公考上岸了：一个应届生的考公之路。,172338,132,2023-03-17 00:23:32,8798,2329,8555,1664,"MoonHalo,一起上岸吧,知识,校园学习,上岸,行测,申论,经验分享,公务员考试,应届生,国考,江苏省考,考公,一起上岸吧！"
https://www.bilibili.com/video/BV1zh411F7kL?from=search,【2023公基常识】年度系列重要讲话101个考点串讲上岸必学-公考杨军晓,48211,531,2023-05-24 18:30:00,2883,1071,5821,421,"知识,职业职场,常识,事业单位,公务员考试,省考,事业编,公共基础知识,公基常识"
https://www.bilibili.com/video/BV1JA4y1Z7as?from=search,公务员考试 公考151分自学上岸全流程分享，分享计划、资料、各模块技巧,256498,587,2022-05-26 15:36:41,2.0万,2.3万,2.4万,1706,"职场加油站,知识,职业职场,上岸,申论,公考,计划,行测,公务员,联考,省考,国考"
https://www.bilibili.com/video/BV1te4y1P7Y1?from=search,我真希望考编制之前，有人能告诉这些该多好，每次我撑不下去的时候就会打开这个视频！,261533,149,2023-02-10 18:05:12,1.0万,4180,2.6万,1489,"考试,知识,职业职场,学习,事业单位,公考,省考,事业编,公共基础知识,国考,职测,考编制"
