视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV16M4y197QR?from=search,妈耶！终于有人把24考研说清楚了！（考研流程、择校、各科目考什么、选什么资料、看谁的网课...）一目了然,584516,210,2023-02-01 19:00:00,5.2万,1.8万,7.2万,6192,"考研B看干货,知识,校园学习,24考研,24考研必买书单,择校,考研规划,经验分享,考研流程,考研网课,考研扫盲,考研备考攻略"
https://www.bilibili.com/video/BV19X4y1b7fH?from=search,六月考研静不下来心，一定要把这个视频看完,177937,144,2023-06-02 11:37:00,1.5万,3744,1.4万,2550,"起风了,今天也要好好工作,高考,考研,知识,校园学习,学习,经验分享,大胆,努力,上岸,六月,学习心得"
https://www.bilibili.com/video/BV1U3411T7ZH?from=search,我，一战浙大425分，告诉你考研有多难,1227618,1787,2022-04-18 14:07:59,7.9万,2.7万,3.8万,5615,"我在B站做UP主,考研,知识,校园学习,学习,经验分享,学习心得"
https://www.bilibili.com/video/BV1WF411c7ia?from=search,【考研必看】每当我考研撑不下去的时候，我都会打开这个视频，考研必胜。,648012,6616,2022-06-17 16:59:57,3.5万,1.6万,4.7万,9962,"23考研,知识,校园学习,学习,大学,考研励志,学习心得"
https://www.bilibili.com/video/BV11X4y187Kj?from=search,【24考研】因为淋过雨，所以愿意撑把伞｜六月考研规划（和蔼温柔不焦虑但花里胡哨发疯版）,88168,535,2023-06-06 13:39:58,1.3万,2649,6121,399,"考研B看干货,考研,知识,校园学习,24考研,考研规划,经验分享,学习心得"
https://www.bilibili.com/video/BV1to4y1K7vg?from=search,6月开始考研 | 全年复习时间安排【24考研】,38822,180,2023-06-01 17:11:23,1852,829,3380,294,"考研,知识,校园学习,24考研,唐迟阅读课,考研政治,考研英语,考研规划,经验分享,徐涛,唐迟,徐涛强化班"
https://www.bilibili.com/video/BV1bG4y177PD?from=search,考研到底有多难？第一步就已经杀死无数的人了......【考研的本质（一）】,349427,883,2022-12-24 09:16:43,1.7万,8182,2.4万,2369,"决战考研2022,高考,考研,知识,校园学习,逆袭,学习,大学,寒假,择校,985,学习心得,考研2022"
https://www.bilibili.com/video/BV1Xo4y1F7MX?from=search,【刷到上岸】每当我考研撑不下去时，都会再看一次这个视频。,162156,130,2023-05-20 12:44:28,1.6万,2856,1.4万,1321,"骄傲的少年,考研人哪有不疯的,考研,知识,校园学习,24考研,考研英语,经验分享,学习心得,考研上岸,我的考研"
https://www.bilibili.com/video/BV1x24y1H7Q8?from=search,24考研的，别不听劝,371785,199,2023-02-22 22:40:20,8941,1932,1.0万,694,"考研人哪有不疯的,考研,知识,校园学习,24考研,校园星发现·up！开学啦"
https://www.bilibili.com/video/BV13h411y7qc?from=search,【考研小白扫盲】考研常识科普(上)‖你所有的考研疑惑这个视频都讲了,940039,8119,2021-02-15 17:09:52,7.7万,4.0万,6.3万,1.1万,"考研,知识,校园学习,24考研,2022考研初试,专硕学硕全日制非全日制,考研分数线国家线校线单科线双科线,四六级挂科专科考研跨考考研择校,22考研23考研24考研25考研,打卡挑战"
https://www.bilibili.com/video/BV1D5411776Q?from=search,24考研高数秒杀法总结（史上最全）（汇集各位名师）会持续免费更新（记得关注收藏）ps（可提供一对一答疑高数题，有意可以私信）,468335,2911,2021-02-16 19:38:39,2.3万,2.0万,6.1万,5139,"知识分享官,考研,考试,知识,校园学习,高数技巧"
https://www.bilibili.com/video/BV1Nh4y1x7mU?from=search,考研人励志语录丨总不能还没努力就妥协吧！？,22992,103,2023-06-06 20:43:55,1809,397,1796,200,"骄傲的少年,上岸冲刺打卡,毕业季,考研,知识,校园学习,学习,研究生,梦想,奋斗,励志,努力,上岸,一起上岸吧2"
https://www.bilibili.com/video/BV1A14y1S7hY?from=search,一个摆子的计算机考研上岸电科分享 | 心态建设 | 最简学习任务 | 考研初试,20230,16,2023-06-11 14:23:25,796,240,1575,107,"考研人哪有不疯的,计算机,考研,知识,校园学习,知识,上岸,经验分享,计算机考研,网安,考研分享,成都电子科技大学,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1qM411u7Nv?from=search,从高考失利，大学摆烂，到考研一战上岸北大计算机，谨以此视频，记录自己这几年来的心路历程，也希望能给在座的各位带来激励和鼓舞,74340,255,2023-03-22 15:12:40,3421,1651,3413,624,"有种,计算机,高考,考研,知识,校园学习,励志,大学,上岸,北大,考研数学,摆烂"
https://www.bilibili.com/video/BV1w54y1f7CA?from=search,如果能重新考研，我一定不会干这10件事！,2218111,275,2022-05-22 22:02:32,16.2万,1.9万,17.7万,7152,"学习帮帮团,考研,英语,知识,校园学习,教育,大学,学习,考研618必买书单,经验分享,学习心得"
https://www.bilibili.com/video/BV1us4y1W7CN?from=search,听听985的导师怎么给考研复试打分,109752,300,2023-02-04 16:27:31,9397,5795,6116,2412,"23考研复试,考研,必剪创作,知识,校园学习,研究生,导师,经验分享,打分,考研复试,复试"
https://www.bilibili.com/video/BV1Dh411W7Hu?from=search,当你考研迷茫时，来看看吧！每天一遍，防止堕落，考研加油,1813642,13563,2021-09-07 16:21:22,10.1万,5.6万,12.1万,3.1万,"考研,知识,校园学习,励志"
https://www.bilibili.com/video/BV19L4y1g7z3?from=search,“没有这里面的辛酸，人们是记不住这样的岁月的”考研张宇老师课程（鸡汤）片段混剪，没有什么比真诚更能打动人心！,1080223,3002,2022-03-03 13:14:45,4.2万,2.6万,4.6万,1.4万,"所念皆星河,考研,生活,日常,校园,励志,张宇,记录"
https://www.bilibili.com/video/BV1Gq4y1872f?from=search,【考研查分合集】愿每一个查分的你都能喜极而泣,320982,2885,2022-02-11 11:18:09,1.5万,9165,1.0万,4331,"一路生花,知识分享官,考研,知识,校园学习,考研加油,考研查分,23考研,22考研上岸"
https://www.bilibili.com/video/BV1vo4y187gk?from=search,二本考研上岸复旦！不想学习的时候点进来看看！,115745,144,2023-04-16 19:53:35,1.3万,2136,5875,551,"起风了,一起上岸吧,考研,知识,校园学习,励志,学习,复旦,二本,上岸,经验分享,考研经验,考研上岸,一起上岸吧！"
https://www.bilibili.com/video/BV1Sd4y197pk?from=search,【考研435分】救命！有人说我的背书方法会拉高国家线！！,785981,1404,2022-08-31 17:15:00,4.3万,1.9万,7.0万,8688,"新学期的正确打开方式,考研,考试,知识,校园学习,大学,背书,背诵,上岸,经验分享,专业课,学习帮帮团2022第二季"
https://www.bilibili.com/video/BV1hY4y1475U?from=search,以4分钟记录我的考研449天。,667940,296,2022-05-08 15:57:51,4.9万,4896,1.9万,3941,"我是如此相信,考研是种怎样的体验,考研,知识,校园学习,学习,经验分享"
https://www.bilibili.com/video/BV1344y1S7oH?from=search,当胡歌遇到考研老师张雪峰，一个问题，直接问懵张雪峰,175918,13,2022-12-03 13:48:43,2576,15,118,11,"胡歌,综艺,必剪创作,娱乐,综艺,张雪峰"
https://www.bilibili.com/video/BV1y3411h7oB?from=search,当代学生最大的困境！千万别让自己成为信息孤岛！课程/保研/考研/比赛/考证/实习/就业【框框的b站大学-信息渠道】,1502379,13356,2022-01-29 12:10:16,13.9万,7.9万,20.0万,1.1万,"知识分享官,高考,考研,野生技术协会,职场,考试,公开课,知识,校园学习,大学,学习,学习心得"
https://www.bilibili.com/video/BV13Q4y1o7Yn?from=search,回顾考研时拍的照片，仿佛考研就在半年前,1302017,2862,2021-05-13 22:35:20,8.6万,2.6万,2.9万,7405,"和你一样,考研,知识,校园学习,考研日常,考研记录"
https://www.bilibili.com/video/BV1jm4y1w7pL?from=search,普通学校大一，想考研，很焦虑，我该做啥？,72516,30,2022-10-22 12:00:00,7594,838,4695,274,"考研,知识,社科·法律·心理,大学,普通,经验分享,大一"
https://www.bilibili.com/video/BV14V4y1N7fp?from=search,24考研｜信息闭塞最为致命！这10个网站每个人都要知道！,186901,19,2022-10-02 19:10:00,1.5万,3495,3.5万,1702,"考研报名避坑指南,知识,校园学习,24考研,考研经验,考研打卡,考研避坑,我们都爱搞学习"
https://www.bilibili.com/video/BV1su4y1o7nY?from=search,考研拿下暑假，你就成功了80%,8474,5,2023-06-13 13:25:14,515,135,1011,56,"考研B看干货,考研,考试,知识,校园学习,经验分享,学习心得"
https://www.bilibili.com/video/BV1uS4y1K7A4?from=search,日均学习14h+依然二战失败 考研复盘经验教训,556195,1294,2022-04-02 22:10:00,2.0万,6833,1.4万,2387,"学习帮帮团,考研,知识,校园学习,大学,经验分享,考研经验,学习心得"
https://www.bilibili.com/video/BV1M24y127xb?from=search,耗时3个月！我们做了一个干净免费的知识共享网站！选科/志愿/转专业/保研考研择校择专业/就业规划必备！,2939069,1598,2022-11-12 19:00:00,37.7万,21.6万,35.7万,2.9万,"我们都爱搞学习,高考,知识,校园学习,大学,学习,专业,中学,规划,信息,经验,资源,我们都爱搞学习·第三期"
https://www.bilibili.com/video/BV1Po4y1J7Gp?from=search,我们为什么要考研？因为社会的残酷打破了你所有的幻想！,29938,42,2023-06-09 17:34:56,1618,545,1283,175,"校园唠嗑会,考研,知识,校园学习,大学,学习,经验分享,励志鸡汤,搞笑研究所20234.0"
https://www.bilibili.com/video/BV1B54y1n7Qu?from=search,很多考研人靠这个视频续命,2726084,20921,2021-07-13 09:40:46,12.0万,6.8万,14.6万,3.2万,"必剪创作,知识,校园学习,大学,2021一起学习,学生党,徐涛,汤家凤,宇哥,唐迟,刘晓燕,22考研"
https://www.bilibili.com/video/BV1mL411h7HP?from=search,宇哥哽咽，还是心疼去年考研的同学,963838,1402,2023-05-02 19:00:00,2.7万,6633,6461,3161,"一起上岸吧,考研,考试,知识,校园学习,数学,学习,张宇,考研数学,高帅,宇哥,#考研数学,一起上岸吧！"
https://www.bilibili.com/video/BV1xg411K7GX?from=search,当你陷入考研/学习焦虑时，不妨看看这个,1790242,8703,2021-11-12 20:00:18,14.2万,6.9万,4.1万,2.2万,"考研,生活,日常,决胜考研,学习,自制,研究生,大学生,考研复习"
https://www.bilibili.com/video/BV15c411V7xE?from=search,求求你别再用假动作总结啦 ||考研数学150学长手把手用思维导图大法教你总结,11973,128,2023-06-02 19:00:57,1086,1462,1485,87,"一起上岸吧,考研,知识,校园学习,学长,数学,学习,思维,总结,考研数学,思维导图,武忠祥"
