视频链接,视频名称,总播放数,历史累计弹幕数,上传时间,点赞数,投币数,收藏数,转发数,标签
https://www.bilibili.com/video/BV1vk4y1p7TM?from=search,史上最难高考来临，这届考生真的很不容易,234970,537,2023-06-09 17:30:00,9401,179,1340,638,"高考,考试,知识,财经商业,学习,考生,史上最难"
https://www.bilibili.com/video/BV1UP411D7z2?from=search,200万粉福利特供|| 高考后的“分层之战”和“人生破圈算法”,1806733,13964,2023-06-06 10:00:00,20.6万,22.0万,15.2万,10.2万,"社会洞察计划,高考,知识,社科·法律·心理,星海计划,高三,大学,算法,学习,人生,经验分享,应试教育,2023高考"
https://www.bilibili.com/video/BV1Qc41137ek?from=search,高考后，各个年级学生现状,1066212,849,2023-06-09 10:09:45,2.9万,1251,1.1万,1273,"高考,生活,搞笑,大学,吐槽,真实,高中,初中"
https://www.bilibili.com/video/BV1A14y1S7Zt?from=search,今年高考数学，到底难不难？,698444,2589,2023-06-11 08:42:54,3.4万,5477,9180,2186,"2023高考季,高考数学,高考,知识,校园学习,高三,数学,高考冲刺,高中数学,高中,一轮复习,高考复习"
https://www.bilibili.com/video/BV1mW4y1X725?from=search,我国高考难度，最大和最小的几个省份！,258314,1743,2023-06-09 17:52:57,5405,338,2074,2096,"UndyingLove,地理,高考,科普,知识,人文历史,家乡,高中,最大,省份"
https://www.bilibili.com/video/BV1L8411Z7F7?from=search,2023高考笑话,1444815,2173,2023-06-07 18:26:10,15.1万,8.7万,3.4万,3224,"距离高考还有3天，高考加油！,高考,搞笑,必剪创作,生活,搞笑,高三,23高考,2023高考季,笑话,2023高考"
https://www.bilibili.com/video/BV1Ms4y1y7gy?from=search,高考后毕业生的一天，自律已然成为习惯！,556099,927,2023-06-10 10:58:17,7.5万,734,3507,2341,"Wake(Live),毕业前vs毕业后,高考,生活,搞笑,学习,毕业,高中生,生活记录,暑假,2023毕业季,高中,自律,努力"
https://www.bilibili.com/video/BV1xj411Q7Cq?from=search,今年高考整的都是新剧情啊，超大准考证惊呆众人,570425,361,2023-06-08 16:24:47,2.3万,96,1651,518,"热点娱乐资讯速报,高考,搞笑,生活,日常,剧情,娱乐资讯,准考证,星动安利大作战·初夏篇"
https://www.bilibili.com/video/BV1Hu4y1o7A2?from=search,高考后遗症,316374,817,2023-06-13 18:30:00,2.8万,1228,3589,1910,"没有一个大学生是不疯的,章鱼哥,派大星,配音,高考,搞笑,动画,短片·手书·配音,海绵宝宝,大学,校园,逗比,一分钟扬名B站-第六期"
https://www.bilibili.com/video/BV1Mo4y1T7Md?from=search,高考时学霸发疯，突然跳起来念答案，可刑吗？,1030751,559,2023-06-08 18:30:00,4.2万,310,1717,214,"法律,高考,考试,知识,社科·法律·心理,社会,考生,热点"
https://www.bilibili.com/video/BV1qd4y1L7Le?from=search,高中生听了会拼命，到底为什么要高考？,986589,7831,2023-01-15 16:37:45,9.1万,1.1万,5.2万,4324,"用知识过好新的一年,高考,考试,知识,校园学习,经验分享,学习,高中生,高考加油,高三,高中,学习心得,我在B站跨年"
https://www.bilibili.com/video/BV1ah411T7eW?from=search,高考失利是人生的常态,45269,92,2023-06-12 00:00:56,2722,863,942,91,"高考,知识,校园学习,人生,大学,经历,故事,高中,高考失利"
https://www.bilibili.com/video/BV1t3411G7rP?from=search,高考采访名场面，就这垃圾题还想阻止我进厂,3542501,576,2022-06-08 17:53:54,9.6万,2386,2.3万,951,"有哪些娱乐高能名场面,高考,生活,日常,跟着UP主创作吧（第四期）,高三学子金榜题名,加油高考,采访"
https://www.bilibili.com/video/BV14h4y137Vm?from=search,《第三十单心愿已完成》#好梦一日游 #愿望 #高考毕业,123425,497,2023-06-14 18:00:00,2.6万,6383,1475,614,"生活,日常,高考毕业,好梦一日游,愿望"
https://www.bilibili.com/video/BV1Wh4y1X7pU?from=search,高考暑假干什么上了大学才不会吃亏,11202,229,2023-06-13 20:29:11,940,128,801,63,"2023毕业季最后一课,高考,知识,校园学习,毕业,高中"
https://www.bilibili.com/video/BV1hu4y1o7RG?from=search,高考志愿十大暴论,14079,110,2023-06-15 00:14:24,1225,342,861,132,"2023毕业季最后一课,高考,知识,校园学习,盘点排行,十大,高中,志愿,高考志愿,志愿填报,暴论"
https://www.bilibili.com/video/BV1JM41177Si?from=search,高考提前20分钟交卷，笑称考卷太简单的林欢，最后考了多少分？,912424,834,2023-02-21 17:29:10,1.1万,297,1129,307,"高考,考试,知识,人文历史,教育,杭高,林欢"
https://www.bilibili.com/video/BV1Ah4y1R7ty?from=search,高考离谱趣事，不考的人更紧张,369776,306,2023-06-09 11:48:00,2.7万,134,2049,411,"bygonebumps,高考唠嗑会,高考,搞笑,必剪创作,知识,人文历史,趣闻,2023高考季,大学生,上班族,高中,趣事"
https://www.bilibili.com/video/BV1P8411Z7EV?from=search,《新高考一卷英语考生现状》,427760,439,2023-06-08 17:48:01,2.1万,1082,2512,5056,"高考英语,高考,必剪创作,生活,搞笑,新高考一卷"
https://www.bilibili.com/video/BV1fM4y1Y7MZ?from=search,为什么第一反应会觉得高考大于生命,707860,218,2023-06-11 14:39:54,3.3万,689,2528,743,"高考只是人生的开始,心理学,高考,必剪创作,知识,社科·法律·心理,个人成长,情感共鸣"
https://www.bilibili.com/video/BV1Uh4y1g7Ef?from=search,盘点2023高考被难哭的学生们，不会就是不会，难不难都不会,26566,20,2023-06-12 11:30:00,667,8,88,24,"高考唠嗑会,高考,搞笑,生活,搞笑,校园,高考加油,高考采访,高考数学难,2023高考季,难不难都不会,不会就是不会,2023高考"
https://www.bilibili.com/video/BV1kh4y197JT?from=search,高考首日！衡水中学高考生6点跑操：手拿书本抓紧备考,259729,263,2023-06-07 13:16:02,2262,30,356,2893,"热点观察局,高考,资讯,社会,星海计划,衡水中学"
https://www.bilibili.com/video/BV1Eu411W7aU?from=search,高考前的最后一个晚自习,1066217,1600,2023-06-05 11:26:14,9.5万,3183,2.0万,1949,"剩下的盛夏,高考,生活,日常,高三,高考加油,高中,晚自习"
https://www.bilibili.com/video/BV1fh4y197sG?from=search,果然，不高考的人反而超级紧张…,64420,27,2023-06-06 23:03:38,1514,15,65,57,"エンターテイナー,距离高考还有3天，高考加油！,是在下输了,万恶之源,高考,生活,搞笑,高考加油,全程高能,情感,高三,生活,校园,2023高考季"
https://www.bilibili.com/video/BV14W4y1X7rX?from=search,你知道高考背后的24小时吗，全社会都为这一天，做好了准备!,2210868,110,2023-06-08 18:34:30,2.0万,1946,3.2万,135,"高考那些事,高考,生活,日常,暖心,高考加油,奋斗,高三,校园,纪录真实生活,实习生小天,记录"
https://www.bilibili.com/video/BV1iz4y1v7TE?from=search,河南一考生高考迟到未进考场不值惋惜！要想迟到，12点开考也一样,345544,128,2023-06-08 17:04:13,2131,27,88,23,"WhatSurroundsUs,2023高考季,高考,考试,知识,校园学习,高考加油,学习,高中,一样,迟到,考场,惋惜"
https://www.bilibili.com/video/BV1du411Y7Di?from=search,高考估分，一点用没有！！！,38164,20,2023-06-10 11:59:50,1547,33,178,368,"2023高考季,高考,知识,校园学习,河北高考,高考估分,新高考一卷"
