用户主页url,用户名称,用户性别,ip地址,用户评论
https://space.bilibili.com/1908043308,老盛头真不错,保密,IP属地：北京,"听哭了，唱出了这些年大家的心酸。都不容易

泪点解析： 00:01 很好哭 00:02 很好哭 00:03 很好哭 00:04 很好哭 00:05 很好哭 00:06 很好哭 00:07 很好哭 00:08 很好哭 00:09 很好哭 00:10 很好哭 00:11 很好哭 00:12 很好哭 00:13 很好哭 00:14 很好哭 00:15 很好哭 00:16 很好哭 00:17 很好哭 00:18 很好哭 00:19 很好哭 00:20 很好哭 00:21 很好哭 00:22 很好哭 00:23 很好哭 00:24 很好哭 00:25 很好哭 00:26 很好哭 00:27 很好哭 00:28 很好哭 00:29 很好哭 00:30 很好哭 00:31 很好哭 00:32 很好哭 00:33 很好哭 00:34 很好哭 00:35 很好哭 00:36 很好哭 00:37 很好哭 00:38 很好哭 00:39 很好哭 00:40 很好哭 00:41 很好哭 00:42 很好哭 00:43 很好哭 00:44 很好哭 00:45 很好哭 00:46 很好哭 00:47 很好哭 00:48 很好哭 00:49 很好哭 00:50 很好哭 00:51 很好哭 00:52 很好哭 00:53 很好哭 00:54 很好哭 00:55 很好哭 00:56 很好哭 00:57 很好哭 00:58 很好哭 00:59 很好哭"
https://space.bilibili.com/1742559275,南宫绿生,保密,IP属地：江苏,眼睛袅袅了
https://space.bilibili.com/1083568230,流汗黄豆苦修五百年,保密,IP属地：河北,回复 @南宫绿生 :看看袅袅的地方🤗
https://space.bilibili.com/228084148,我真不惠啊,男,IP属地：湖南,"😭✊🎤💦
不好意思掏错了😭🔪✊🩸"
https://space.bilibili.com/418176521,kiss龙辰,男,IP属地：四川,什么肌肉记忆
https://space.bilibili.com/645804719,小禹狂想曲,男,IP属地：江苏,逆天
https://space.bilibili.com/8360214,Sev75,保密,IP属地：上海,俯卧撑那段真没绷住，整个办公室都听到我憋笑的动静了😭✊🎤💦
https://space.bilibili.com/85513241,遇事不决先炫饭,女,IP属地：四川,你最好憋的是笑🧐
https://space.bilibili.com/291948969,-晚晚可爱喵-,保密,IP属地：四川,你最好憋的是笑🧐
https://space.bilibili.com/244960835,丧其身躯惑之甚矣,男,IP属地：湖北,额。。。稍微了解了一下vtb。。。感觉这东西也太棒了。。。了解了一下惊了，这不就相当于古希腊戏演员在表演摹拟剧一样吗？怪不得一群成年人还看得不亦乐乎。还能组织出同好会。我也是越来越看得懂这个世界了。。。我仿佛看到了一群名流盯着戏台上的演员欣喜的喝起了彩的样子。 【永雏塔菲_哈哈哈】
https://space.bilibili.com/33022101,彼得帕克本蜘,男,IP属地：甘肃,"一秒，两秒。
嘴无意识地张大，轻吸着气，所有的惊艳化成嘴边细碎的喟叹。
太美了。精巧，纤美，无一处细节不做到还原与雅致。
这个视频带给我视觉上的享受与心灵中的感触实在颇深，就像晚餐后轻抿的一口干红，与天边的霞光齐色。
徬晚时分的绝色，夕阳为你红了脸。"
https://space.bilibili.com/16988795,黄浩是我女神,女,IP属地：广西,我这辈子没看过几个v，这个是最逆天的
https://space.bilibili.com/355279119,夜の影深淵,保密,IP属地：福建,"记录人一个人播全身3D从满怀开心到崩溃的变化[永雏塔菲_嘤嘤嘤]
如果想要多看小菲就一键三连召唤小菲加班喵[永雏塔菲_闪亮登场]"
https://space.bilibili.com/474953601,C珈珈,女,IP属地：吉林,看v三天，塔菲加重了我的精神内耗。
https://space.bilibili.com/443916857,枕中塔菲柱,女,IP属地：江西,塔菲，为了你😨😨😨我变成狼人模样🐺🐺🐺为了你😱😱😱染上了疯狂🤡🤡🤡为了你😰😰😰穿上厚厚伪装💆🏼‍♀️💆🏼‍♀️💆🏼‍♀️为了你🤗🤗🤗换了心肠💀💀💀我们还能不能再见面🥺🥺🥺我在佛前苦苦求了几千年🙇‍♀️🙇‍♀️🙇‍♀️愿意用几世🥰🥰🥰换我们一世姻缘💞💞💞希望可以感动上天😭😭😭我们还能不能再见面🥺🥺🥺我在佛前苦苦求了几千年🙇‍♀️🙇‍♀️🙇‍♀️但我在跨过这座奈何桥前🎭🎭🎭
https://space.bilibili.com/107977712,真的不是居居,女,IP属地：江苏,抽象
https://space.bilibili.com/11845274,魔界楞荀文若,男,IP属地：江苏,视频又剪过了，做俯卧撑那里，放大了，更像热水器，已举办
https://space.bilibili.com/159307008,食日蛙,男,IP属地：上海,这期视频的文案，真是看几遍也看不够的，愿称其为一种冷峻的幽默感。看似置身事外淡淡地叙述，偶有玩笑话穿插其间，文字背后的情感却足以动人至落泪。配合上几乎不加额外修饰的镜头画面，这部视频便不再是普通的视频，更像是一部微缩的纪录片，一场时长极短的电影，似乎有些乏善可陈，匆匆而过转眼就迎来结束，这又何其像是“普通人的一生”。
https://space.bilibili.com/28658124,十立曰殳,男,IP属地：陕西,什么永雏二舅
https://space.bilibili.com/179777146,犬西,男,IP属地：四川,这是我国自主研发的电子季[支持][支持][支持]
https://space.bilibili.com/214476845,海滨星空与湛蓝,保密,IP属地：陕西,[辣眼睛]
https://space.bilibili.com/19884007,南风入弦丶l,保密,IP属地：贵州,对不起 我不应该在taffy直播的时候干这种事的 但是小菲实在太可爱 忍不住了[永雏塔菲_太好吃了]
https://space.bilibili.com/95428691,一只男賓,保密,IP属地：河南,扣大分
https://space.bilibili.com/19884007,南风入弦丶l,保密,IP属地：贵州,回复 @-OneLife- :[永雏塔菲_震惊]
https://space.bilibili.com/27244789,蒉嚕Isabellae,男,IP属地：广西,只有你能做得出这种节目，实话实说
https://space.bilibili.com/23319664,月影幽谷,保密,IP属地：浙江,换源了，俯卧撑（大概）那段之前是全身的，现在就剩上半身了
https://space.bilibili.com/473531636,UID473531636,女,IP属地：河南,本来想重温一遍呢
https://space.bilibili.com/389253501,76酱XD,保密,IP属地：湖北,野生的小雏男不小心走错进入了塔菲举办的小学派对，等待他的是...
https://space.bilibili.com/2116684205,再见了家人们,保密,IP属地：湖南,呃，是不是剪了，我感觉好像是老头发力那段🤨
https://space.bilibili.com/203244012,好女儿赛娜,保密,IP属地：重庆,是的，现在只能看到脑袋了😭😭😭
https://space.bilibili.com/355984895,Rigelsss,男,IP属地：黑龙江,考你一个地理题，你家在哪[永雏塔菲_星星眼][永雏塔菲_嘻嘻喵]
https://space.bilibili.com/58410311,Wayzin未经,保密,IP属地：辽宁,我是妈妈生的
https://space.bilibili.com/14908810,猎杀时鱼,男,IP属地：山东,换源了，之前那个大象蹬腿没了[永雏塔菲_喵喵拳][永雏塔菲_喵喵拳]
https://space.bilibili.com/8427617,嘉心大魔王,男,IP属地：上海,为什么我看什么视频最后都给我推荐这个[贝拉kira_贝式疑问]
https://space.bilibili.com/568187717,龙神之夜Da,女,IP属地：吉林,叔叔更新的新推荐机制喵
https://space.bilibili.com/1908043308,老盛头真不错,保密,IP属地：北京,"听哭了，唱出了这些年大家的心酸。都不容易

泪点解析： 00:01 很好哭 00:02 很好哭 00:03 很好哭 00:04 很好哭 00:05 很好哭 00:06 很好哭 00:07 很好哭 00:08 很好哭 00:09 很好哭 00:10 很好哭 00:11 很好哭 00:12 很好哭 00:13 很好哭 00:14 很好哭 00:15 很好哭 00:16 很好哭 00:17 很好哭 00:18 很好哭 00:19 很好哭 00:20 很好哭 00:21 很好哭 00:22 很好哭 00:23 很好哭 00:24 很好哭 00:25 很好哭 00:26 很好哭 00:27 很好哭 00:28 很好哭 00:29 很好哭 00:30 很好哭 00:31 很好哭 00:32 很好哭 00:33 很好哭 00:34 很好哭 00:35 很好哭 00:36 很好哭 00:37 很好哭 00:38 很好哭 00:39 很好哭 00:40 很好哭 00:41 很好哭 00:42 很好哭 00:43 很好哭 00:44 很好哭 00:45 很好哭 00:46 很好哭 00:47 很好哭 00:48 很好哭 00:49 很好哭 00:50 很好哭 00:51 很好哭 00:52 很好哭 00:53 很好哭 00:54 很好哭 00:55 很好哭 00:56 很好哭 00:57 很好哭 00:58 很好哭 00:59 很好哭"
https://space.bilibili.com/1742559275,南宫绿生,保密,IP属地：江苏,眼睛袅袅了
https://space.bilibili.com/1083568230,流汗黄豆苦修五百年,保密,IP属地：河北,回复 @南宫绿生 :看看袅袅的地方🤗
https://space.bilibili.com/387985642,最強の伝説op,保密,IP属地：河南,老头，你轻点[永雏塔菲_嘤嘤嘤][永雏塔菲_嘤嘤嘤][永雏塔菲_嘤嘤嘤]
https://space.bilibili.com/295355700,叶竹葵mmmmm,保密,IP属地：山东,那不是俯卧撑，那是仰卧起坐[傲娇]
https://space.bilibili.com/259213858,邋遢术士,保密,IP属地：福建,为什么会叫得那么奇怪？
https://space.bilibili.com/34269886,一团糟_004,男,IP属地：浙江,我本想说taffy的人生有种悲苦的浪漫，但又意识到，这样去评价也太浅薄了。
https://space.bilibili.com/588013168,满口正义的骗子,男,IP属地：浙江,这玩意怎么@一会亮一会不亮
https://space.bilibili.com/159307008,食日蛙,男,IP属地：上海,这期视频的文案，真是看几遍也看不够的，愿称其为一种冷峻的幽默感。看似置身事外淡淡地叙述，偶有玩笑话穿插其间，文字背后的情感却足以动人至落泪。配合上几乎不加额外修饰的镜头画面，这部视频便不再是普通的视频，更像是一部微缩的纪录片，一场时长极短的电影，似乎有些乏善可陈，匆匆而过转眼就迎来结束，这又何其像是“普通人的一生”。
https://space.bilibili.com/28658124,十立曰殳,男,IP属地：陕西,什么永雏二舅
https://space.bilibili.com/541602591,老吴的夜,保密,IP属地：河北,看虚拟主播的都什么成分
https://space.bilibili.com/313595901,全神灬领域,保密,IP属地：河南,哈哈
https://space.bilibili.com/355984895,Rigelsss,男,IP属地：黑龙江,考你一个地理题，你家在哪[永雏塔菲_星星眼][永雏塔菲_嘻嘻喵]
https://space.bilibili.com/58410311,Wayzin未经,保密,IP属地：辽宁,我是妈妈生的
https://space.bilibili.com/29274008,岔路上徘徊,保密,IP属地：河北,说实话，塔菲搞热水器就和三岁小孩棒读杂志的黄色笑话一样，没什么感觉，只是好笑
https://space.bilibili.com/398708205,花吟空,男,IP属地：江西,中肯的
https://space.bilibili.com/484811618,那日风极盛,保密,IP属地：河南,真知灼见的
https://space.bilibili.com/34629778,缺月典,保密,IP属地：江苏,棒棒哒！
